ID,Time,X,Y,Z,Activity
Angelina,2023-05-16T13:01:13.814402Z,-0.003906,-0.922241,0.452393,Stationary
Angelina,2023-05-16T13:01:13.814402Z,0.134277,-0.863647,0.497559,Stationary
Angelina,2023-05-16T13:01:13.900803Z,0.163696,-0.914551,0.50708,Stationary
Angelina,2023-05-16T13:01:13.900803Z,0.241089,-0.885254,0.501465,Stationary
Angelina,2023-05-16T13:01:13.900803Z,0.242188,-0.889404,0.459839,Stationary
Angelina,2023-05-16T13:01:13.900803Z,0.255737,-0.922485,0.488647,Stationary
Angelina,2023-05-16T13:01:13.900803Z,0.25647,-0.803223,0.46582,Stationary
Angelina,2023-05-16T13:01:13.987203Z,0.135864,-0.901489,0.50415,Stationary
Angelina,2023-05-16T13:01:13.987203Z,0.167725,-0.844727,0.482788,Stationary
Angelina,2023-05-16T13:01:13.987203Z,0.198853,-0.832642,0.479858,Stationary
Angelina,2023-05-16T13:01:13.987203Z,0.220093,-0.86499,0.502319,Stationary
Angelina,2023-05-16T13:01:14.073604Z,0.152466,-0.943604,0.550903,Stationary
Angelina,2023-05-16T13:01:14.073604Z,0.195313,-0.94397,0.613403,Stationary
Angelina,2023-05-16T13:01:14.073604Z,0.209839,-0.845215,0.497925,Stationary
Angelina,2023-05-16T13:01:14.073604Z,0.239624,-0.8125,0.501465,Stationary
Angelina,2023-05-16T13:01:14.160005Z,0.175903,-0.829468,0.61145,Stationary
Angelina,2023-05-16T13:01:14.160005Z,0.19397,-0.859497,0.601074,Stationary
Angelina,2023-05-16T13:01:14.160005Z,0.203003,-0.850098,0.547852,Stationary
Angelina,2023-05-16T13:01:14.160005Z,0.211426,-0.838623,0.643433,Stationary
Angelina,2023-05-16T13:01:14.160005Z,0.220825,-0.848999,0.584473,Stationary
Angelina,2023-05-16T13:01:14.246395Z,0.135986,-0.876465,0.464478,Stationary
Angelina,2023-05-16T13:01:14.246395Z,0.146973,-0.937744,0.47876,Stationary
Angelina,2023-05-16T13:01:14.246395Z,0.162231,-0.918579,0.473389,Stationary
Angelina,2023-05-16T13:01:14.246395Z,0.173706,-0.890259,0.509155,Stationary
Angelina,2023-05-16T13:01:14.332796Z,0.14917,-0.887329,0.468262,Stationary
Angelina,2023-05-16T13:01:14.332796Z,0.17627,-0.852417,0.511597,Stationary
Angelina,2023-05-16T13:01:14.332796Z,0.179077,-0.873657,0.511597,Stationary
Angelina,2023-05-16T13:01:14.332796Z,0.202026,-0.901367,0.50354,Stationary
Angelina,2023-05-16T13:01:14.419197Z,0.189697,-0.935913,0.546875,Stationary
Angelina,2023-05-16T13:01:14.419197Z,0.214111,-0.863892,0.565674,Stationary
Angelina,2023-05-16T13:01:14.419197Z,0.214844,-0.86499,0.550537,Stationary
Angelina,2023-05-16T13:01:14.419197Z,0.22644,-0.898804,0.550171,Stationary
Angelina,2023-05-16T13:01:14.419197Z,0.231079,-0.845703,0.533081,Stationary
Angelina,2023-05-16T13:01:14.505597Z,0.191162,-0.87854,0.520752,Stationary
Angelina,2023-05-16T13:01:14.505597Z,0.195435,-0.928833,0.52417,Stationary
Angelina,2023-05-16T13:01:14.505597Z,0.210938,-0.84729,0.541016,Stationary
Angelina,2023-05-16T13:01:14.505597Z,0.230835,-0.855103,0.558838,Stationary
Angelina,2023-05-16T13:01:14.591998Z,0.216431,-0.894409,0.516235,Stationary
Angelina,2023-05-16T13:01:14.591998Z,0.220215,-0.862915,0.499023,Stationary
Angelina,2023-05-16T13:01:14.591998Z,0.222656,-0.883301,0.501221,Stationary
Angelina,2023-05-16T13:01:14.591998Z,0.224365,-0.881348,0.511719,Stationary
Angelina,2023-05-16T13:01:14.678399Z,0.206909,-0.880737,0.511108,Stationary
Angelina,2023-05-16T13:01:14.678399Z,0.209106,-0.858521,0.502563,Stationary
Angelina,2023-05-16T13:01:14.678399Z,0.210938,-0.854126,0.516357,Stationary
Angelina,2023-05-16T13:01:14.678399Z,0.215454,-0.892212,0.511841,Stationary
Angelina,2023-05-16T13:01:14.678399Z,0.219849,-0.888306,0.503418,Stationary
Angelina,2023-05-16T13:01:14.764799Z,0.199829,-0.908813,0.512451,Stationary
Angelina,2023-05-16T13:01:14.764799Z,0.207886,-0.881592,0.508911,Stationary
Angelina,2023-05-16T13:01:14.764799Z,0.217529,-0.900757,0.502686,Stationary
Angelina,2023-05-16T13:01:14.764799Z,0.235352,-0.875977,0.492188,Stationary
Angelina,2023-05-16T13:01:14.851200Z,0.211914,-0.907349,0.495728,Stationary
Angelina,2023-05-16T13:01:14.851200Z,0.261841,-0.887695,0.49231,Stationary
Angelina,2023-05-16T13:01:14.851200Z,0.275024,-0.868042,0.50415,Stationary
Angelina,2023-05-16T13:01:14.851200Z,0.286011,-0.813599,0.484131,Stationary
Angelina,2023-05-16T13:01:14.851200Z,0.314453,-0.807739,0.489624,Stationary
Angelina,2023-05-16T13:01:14.937601Z,0.224243,-0.924194,0.460449,Stationary
Angelina,2023-05-16T13:01:14.937601Z,0.226807,-0.977417,0.3927,Stationary
Angelina,2023-05-16T13:01:14.937601Z,0.253052,-0.944214,0.424561,Stationary
Angelina,2023-05-16T13:01:14.937601Z,0.268555,-0.976929,0.406494,Stationary
Angelina,2023-05-16T13:01:15.024001Z,0.117188,-0.980347,0.347412,Stationary
Angelina,2023-05-16T13:01:15.024001Z,0.124634,-0.942139,0.359985,Stationary
Angelina,2023-05-16T13:01:15.024001Z,0.126343,-0.982666,0.36438,Stationary
Angelina,2023-05-16T13:01:15.024001Z,0.141235,-0.978149,0.400146,Stationary
Angelina,2023-05-16T13:01:15.024001Z,0.150635,-0.932007,0.415039,Stationary
Angelina,2023-05-16T13:01:15.110402Z,0.180664,-0.913208,0.430664,Stationary
Angelina,2023-05-16T13:01:15.110402Z,0.188599,-0.929199,0.419678,Stationary
Angelina,2023-05-16T13:01:15.110402Z,0.227905,-0.912598,0.409912,Stationary
Angelina,2023-05-16T13:01:15.110402Z,0.236694,-0.942871,0.398804,Stationary
