Activity,smoothing_type,rep_id,Metric,Score
Foraging,Bayesian,1,Precision,0.948979591836735
Foraging,Bayesian,1,Recall,0.93
Foraging,Bayesian,1,F1,0.939393939393939
Foraging,Bayesian,1,Accuracy,0.960487364620939
Locomotion,Bayesian,1,Precision,0.98989898989899
Locomotion,Bayesian,1,Recall,0.98
Locomotion,Bayesian,1,F1,0.984924623115578
Locomotion,Bayesian,1,Accuracy,0.989097472924188
Stationary,Bayesian,1,Precision,0.99
Stationary,Bayesian,1,Recall,0.383720930232558
Stationary,Bayesian,1,F1,0.553072625698324
Stationary,Bayesian,1,Accuracy,0.690597838853653
TreeMovement,Bayesian,1,Precision,0.540616246498599
TreeMovement,Bayesian,1,Recall,0.984693877551021
TreeMovement,Bayesian,1,F1,0.698010849909584
TreeMovement,Bayesian,1,Accuracy,0.813307637465467
Macro-Average,Bayesian,1,Precision,0.867373707058581
Macro-Average,Bayesian,1,Recall,0.819603701945895
Macro-Average,Bayesian,1,F1,0.793850509529356
Macro-Average,Bayesian,1,Accuracy,0.863372578466062
Foraging,Bayesian,2,Precision,0.902173913043478
Foraging,Bayesian,2,Recall,0.416040100250627
Foraging,Bayesian,2,F1,0.569468267581475
Foraging,Bayesian,2,Accuracy,0.694784756007666
Locomotion,Bayesian,2,Precision,0.948905109489051
Locomotion,Bayesian,2,Recall,0.915492957746479
Locomotion,Bayesian,2,F1,0.931899641577061
Locomotion,Bayesian,2,Accuracy,0.954011153366302
Stationary,Bayesian,2,Precision,0.474576271186441
Stationary,Bayesian,2,Recall,0.916363636363636
Stationary,Bayesian,2,F1,0.625310173697271
Stationary,Bayesian,2,Accuracy,0.784674355495251
TreeMovement,Bayesian,2,Precision,0.519823788546256
TreeMovement,Bayesian,2,Recall,0.448669201520913
TreeMovement,Bayesian,2,F1,0.481632653061225
TreeMovement,Bayesian,2,Accuracy,0.657545385074182
Macro-Average,Bayesian,2,Precision,0.711369770566306
Macro-Average,Bayesian,2,Recall,0.674141473970414
Macro-Average,Bayesian,2,F1,0.652077683979258
