Activity,smoothing_type,rep_id,Metric,Score,Species
1,Bayesian,1,Precision,0.909685207249012,Clemente_Echidna
1,Bayesian,1,Recall,0.939617203186735,Clemente_Echidna
1,Bayesian,1,F1,0.924408972153189,Clemente_Echidna
1,Bayesian,1,Accuracy,0.794339547012471,Clemente_Echidna
2,Bayesian,1,Precision,0.427557090769526,Clemente_Echidna
2,Bayesian,1,Recall,0.45032844871147,Clemente_Echidna
2,Bayesian,1,F1,0.43864743810602,Clemente_Echidna
2,Bayesian,1,Accuracy,0.681474548476596,Clemente_Echidna
3,Bayesian,1,Precision,0.878596668349319,Clemente_Echidna
3,Bayesian,1,Recall,0.58494370694001,Clemente_Echidna
3,Bayesian,1,F1,0.702310097851306,Clemente_Echidna
3,Bayesian,1,Accuracy,0.789141797115205,Clemente_Echidna
4,Bayesian,1,Precision,0,Clemente_Echidna
4,Bayesian,1,Recall,0,Clemente_Echidna
4,Bayesian,1,F1,0,Clemente_Echidna
4,Bayesian,1,Accuracy,0.5,Clemente_Echidna
Macro-Average,Bayesian,1,Precision,0.553959741591964,Clemente_Echidna
Macro-Average,Bayesian,1,Recall,0.493722339709554,Clemente_Echidna
Macro-Average,Bayesian,1,F1,0.516341627027629,Clemente_Echidna
Macro-Average,Bayesian,1,Accuracy,0.691238973151068,Clemente_Echidna
1,Bayesian,2,Precision,0.978082315422107,Clemente_Echidna
1,Bayesian,2,Recall,0.641206694214061,Clemente_Echidna
1,Bayesian,2,F1,0.77460283421791,Clemente_Echidna
1,Bayesian,2,Accuracy,0.772191598037387,Clemente_Echidna
2,Bayesian,2,Precision,0.0648105493493032,Clemente_Echidna
2,Bayesian,2,Recall,0.230022481095442,Clemente_Echidna
2,Bayesian,2,F1,0.101127633766117,Clemente_Echidna
2,Bayesian,2,Accuracy,0.462751319112922,Clemente_Echidna
3,Bayesian,2,Precision,0.715681144252573,Clemente_Echidna
3,Bayesian,2,Recall,0.888479861411867,Clemente_Echidna
3,Bayesian,2,F1,0.792773645058448,Clemente_Echidna
3,Bayesian,2,Accuracy,0.936952148248475,Clemente_Echidna
4,Bayesian,2,Precision,0.0419646613378208,Clemente_Echidna
4,Bayesian,2,Recall,0.619565217391304,Clemente_Echidna
4,Bayesian,2,F1,0.0786052009456265,Clemente_Echidna
4,Bayesian,2,Accuracy,0.770453564181167,Clemente_Echidna
Macro-Average,Bayesian,2,Precision,0.450134667590451,Clemente_Echidna
Macro-Average,Bayesian,2,Recall,0.594818563528169,Clemente_Echidna
Macro-Average,Bayesian,2,F1,0.436777328497025,Clemente_Echidna
Macro-Average,Bayesian,2,Accuracy,0.735587157394988,Clemente_Echidna
1,Bayesian,3,Precision,0.991120636864666,Clemente_Echidna
1,Bayesian,3,Recall,0.377784585758677,Clemente_Echidna
1,Bayesian,3,F1,0.547050435701083,Clemente_Echidna
1,Bayesian,3,Accuracy,0.666670070657116,Clemente_Echidna
2,Bayesian,3,Precision,0.0533180728615544,Clemente_Echidna
2,Bayesian,3,Recall,0.894565217391304,Clemente_Echidna
2,Bayesian,3,F1,0.100637903275114,Clemente_Echidna
2,Bayesian,3,Accuracy,0.638594732852426,Clemente_Echidna
3,Bayesian,3,Precision,0.917417417417417,Clemente_Echidna
3,Bayesian,3,Recall,0.539514348785872,Clemente_Echidna
3,Bayesian,3,F1,0.67945510147345,Clemente_Echidna
3,Bayesian,3,Accuracy,0.768987965140048,Clemente_Echidna
4,Bayesian,3,Precision,0,Clemente_Echidna
4,Bayesian,3,Recall,0,Clemente_Echidna
4,Bayesian,3,F1,0,Clemente_Echidna
4,Bayesian,3,Accuracy,0.5,Clemente_Echidna
Macro-Average,Bayesian,3,Precision,0.49046403178591,Clemente_Echidna
Macro-Average,Bayesian,3,Recall,0.452966037983963,Clemente_Echidna
Macro-Average,Bayesian,3,F1,0.331785860112412,Clemente_Echidna
Macro-Average,Bayesian,3,Accuracy,0.643563192162397,Clemente_Echidna
1,Duration,1,Precision,0.890945511576267,Clemente_Echidna
1,Duration,1,Recall,0.929075717339206,Clemente_Echidna
1,Duration,1,F1,0.909611192580556,Clemente_Echidna
1,Duration,1,Accuracy,0.750630694926913,Clemente_Echidna
2,Duration,1,Precision,0.386421319796954,Clemente_Echidna
2,Duration,1,Recall,0.369277412834765,Clemente_Echidna
2,Duration,1,F1,0.377654901555475,Clemente_Echidna
2,Duration,1,Accuracy,0.642150020622752,Clemente_Echidna
3,Duration,1,Precision,0.755329008341057,Clemente_Echidna
3,Duration,1,Recall,0.547807091245169,Clemente_Echidna
3,Duration,1,F1,0.635044316742963,Clemente_Echidna
3,Duration,1,Accuracy,0.766592652669011,Clemente_Echidna
4,Duration,1,Precision,0,Clemente_Echidna
4,Duration,1,Recall,0,Clemente_Echidna
4,Duration,1,F1,0,Clemente_Echidna
4,Duration,1,Accuracy,0.499993556867091,Clemente_Echidna
Macro-Average,Duration,1,Precision,0.508173959928569,Clemente_Echidna
Macro-Average,Duration,1,Recall,0.461540055354785,Clemente_Echidna
Macro-Average,Duration,1,F1,0.480577602719749,Clemente_Echidna
Macro-Average,Duration,1,Accuracy,0.664841731271442,Clemente_Echidna
1,Duration,2,Precision,0.9500245432957,Clemente_Echidna
1,Duration,2,Recall,0.706206053194742,Clemente_Echidna
1,Duration,2,F1,0.810168686148729,Clemente_Echidna
1,Duration,2,Accuracy,0.727936891562815,Clemente_Echidna
2,Duration,2,Precision,0.0710149505158981,Clemente_Echidna
2,Duration,2,Recall,0.13784998978132,Clemente_Echidna
2,Duration,2,F1,0.0937391425196303,Clemente_Echidna
2,Duration,2,Accuracy,0.486201838782169,Clemente_Echidna
3,Duration,2,Precision,0.348262336951564,Clemente_Echidna
3,Duration,2,Recall,0.826764833261152,Clemente_Echidna
3,Duration,2,F1,0.490084076760157,Clemente_Echidna
3,Duration,2,Accuracy,0.881436891686688,Clemente_Echidna
4,Duration,2,Precision,0.0222262215423378,Clemente_Echidna
4,Duration,2,Recall,0.383540372670807,Clemente_Echidna
4,Duration,2,F1,0.0420175214765672,Clemente_Echidna
4,Duration,2,Accuracy,0.644855113583795,Clemente_Echidna
Macro-Average,Duration,2,Precision,0.347882013076375,Clemente_Echidna
Macro-Average,Duration,2,Recall,0.513590312227005,Clemente_Echidna
Macro-Average,Duration,2,F1,0.359002356726271,Clemente_Echidna
Macro-Average,Duration,2,Accuracy,0.685107683903867,Clemente_Echidna
1,Duration,3,Precision,0.979193022171916,Clemente_Echidna
1,Duration,3,Recall,0.429092447517762,Clemente_Echidna
1,Duration,3,F1,0.596703352436983,Clemente_Echidna
1,Duration,3,Accuracy,0.654680323375739,Clemente_Echidna
2,Duration,3,Precision,0.049457060630245,Clemente_Echidna
2,Duration,3,Recall,0.740942028985507,Clemente_Echidna
2,Duration,3,F1,0.0927248407354508,Clemente_Echidna
2,Duration,3,Accuracy,0.593709568438139,Clemente_Echidna
3,Duration,3,Precision,0.554338668913227,Clemente_Echidna
3,Duration,3,Recall,0.581015452538631,Clemente_Echidna
3,Duration,3,F1,0.567363655960336,Clemente_Echidna
3,Duration,3,Accuracy,0.783109331818811,Clemente_Echidna
4,Duration,3,Precision,0,Clemente_Echidna
4,Duration,3,Recall,0,Clemente_Echidna
4,Duration,3,F1,0,Clemente_Echidna
4,Duration,3,Accuracy,0.499959223617681,Clemente_Echidna
Macro-Average,Duration,3,Precision,0.395747187928847,Clemente_Echidna
Macro-Average,Duration,3,Recall,0.437762482260475,Clemente_Echidna
Macro-Average,Duration,3,F1,0.314197962283193,Clemente_Echidna
Macro-Average,Duration,3,Accuracy,0.632864611812592,Clemente_Echidna
1,HMM,1,Precision,0.870023767082591,Clemente_Echidna
1,HMM,1,Recall,0.948409871105641,Clemente_Echidna
1,HMM,1,F1,0.90752734822895,Clemente_Echidna
1,HMM,1,Accuracy,0.707696650952431,Clemente_Echidna
2,HMM,1,Precision,0.347062539481996,Clemente_Echidna
2,HMM,1,Recall,0.277614957049015,Clemente_Echidna
2,HMM,1,F1,0.308478382930938,Clemente_Echidna
2,HMM,1,Accuracy,0.600961644641941,Clemente_Echidna
3,HMM,1,Precision,0.854564032697548,Clemente_Echidna
3,HMM,1,Recall,0.421609813476727,Clemente_Echidna
3,HMM,1,F1,0.56464498705975,Clemente_Echidna
3,HMM,1,Accuracy,0.707848702864144,Clemente_Echidna
4,HMM,1,Precision,0,Clemente_Echidna
4,HMM,1,Recall,0,Clemente_Echidna
4,HMM,1,F1,0,Clemente_Echidna
4,HMM,1,Accuracy,0.499993556867091,Clemente_Echidna
Macro-Average,HMM,1,Precision,0.517912584815534,Clemente_Echidna
Macro-Average,HMM,1,Recall,0.411908660407846,Clemente_Echidna
Macro-Average,HMM,1,F1,0.44516267955491,Clemente_Echidna
Macro-Average,HMM,1,Accuracy,0.629125138831402,Clemente_Echidna
1,HMM,2,Precision,0.984426448340304,Clemente_Echidna
1,HMM,2,Recall,0.654549757891934,Clemente_Echidna
1,HMM,2,F1,0.786290967462964,Clemente_Echidna
1,HMM,2,Accuracy,0.792386521689189,Clemente_Echidna
2,HMM,2,Precision,0.133904594502222,Clemente_Echidna
2,HMM,2,Recall,0.560494584099734,Clemente_Echidna
2,HMM,2,F1,0.216166154331205,Clemente_Echidna
2,HMM,2,Accuracy,0.613943137844566,Clemente_Echidna
3,HMM,2,Precision,0.758227374719521,Clemente_Echidna
3,HMM,2,Recall,0.878085751407536,Clemente_Echidna
3,HMM,2,F1,0.813766807144291,Clemente_Echidna
3,HMM,2,Accuracy,0.933261831091809,Clemente_Echidna
4,HMM,2,Precision,0.0548398969451601,Clemente_Echidna
4,HMM,2,Recall,0.231366459627329,Clemente_Echidna
4,HMM,2,F1,0.0886640880690271,Clemente_Echidna
4,HMM,2,Accuracy,0.604595625651496,Clemente_Echidna
Macro-Average,HMM,2,Precision,0.482849578626802,Clemente_Echidna
Macro-Average,HMM,2,Recall,0.581124138256633,Clemente_Echidna
Macro-Average,HMM,2,F1,0.476222004251872,Clemente_Echidna
Macro-Average,HMM,2,Accuracy,0.736046779069265,Clemente_Echidna
1,HMM,3,Precision,0.977341389728097,Clemente_Echidna
1,HMM,3,Recall,0.575765533137847,Clemente_Echidna
1,HMM,3,F1,0.724637148968594,Clemente_Echidna
1,HMM,3,Accuracy,0.700239088408004,Clemente_Echidna
2,HMM,3,Precision,0.0576102418207681,Clemente_Echidna
2,HMM,3,Recall,0.675,Clemente_Echidna
2,HMM,3,F1,0.106159895150721,Clemente_Echidna
2,HMM,3,Accuracy,0.622908480854,Clemente_Echidna
3,HMM,3,Precision,0.946205571565802,Clemente_Echidna
3,HMM,3,Recall,0.434878587196468,Clemente_Echidna
3,HMM,3,F1,0.59588626739262,Clemente_Echidna
3,HMM,3,Accuracy,0.7170476961604,Clemente_Echidna
